Date,precip,Tmax,Tmin,Tmean
1923-01-01,0.0,40.0,14.0,27.0
1923-01-02,nan,nan,16.0,nan
1923-01-03,0.02,40.0,20.0,30.0
1923-01-04,0.03,nan,16.0,nan
1923-01-05,0.0,33.0,23.0,28.0
1923-01-06,0.14,30.0,23.0,26.5
1923-01-07,0.03,31.0,24.0,27.5
1923-01-08,0.06,32.0,27.0,29.5
1923-01-09,0.02,35.0,22.0,28.5
1923-01-10,0.0,28.0,5.0,16.5
1923-01-11,0.0,37.0,14.0,25.5
1923-01-12,0.0,32.0,19.0,25.5
1923-01-13,0.03,34.0,13.0,23.5
1923-01-14,0.21,40.0,31.0,35.5
1923-01-15,0.0,36.0,27.0,31.5
1923-01-16,0.0,32.0,17.0,24.5
1923-01-17,0.0,32.0,11.0,21.5
1923-01-18,0.0,45.0,31.0,38.0
1923-01-19,0.01,nan,12.0,nan
1923-01-20,0.01,44.0,26.0,35.0
1923-01-21,0.0,36.0,15.0,25.5
1923-01-22,0.0,29.0,11.0,20.0
1923-01-23,0.0,32.0,17.0,24.5
1923-01-24,0.09,38.0,27.0,32.5
1923-01-25,0.0,33.0,14.0,23.5
1923-01-26,0.0,34.0,30.0,32.0
1923-01-27,0.15,34.0,29.0,31.5
1923-01-28,0.0,38.0,24.0,31.0
1923-01-29,0.0,34.0,12.0,23.0
1923-01-30,0.01,33.0,30.0,31.5
1923-01-31,0.0,40.0,30.0,35.0
1923-02-01,0.15,37.0,28.0,32.5
1923-02-02,0.0,32.0,21.0,26.5
1923-02-03,0.0,30.0,-6.0,12.0
1923-02-04,0.0,15.0,-10.0,2.5
1923-02-05,0.0,24.0,2.0,13.0
1923-02-06,0.07,27.0,23.0,25.0
1923-02-07,0.04,27.0,19.0,23.0
1923-02-08,0.0,35.0,16.0,25.5
1923-02-09,0.0,29.0,10.0,19.5
1923-02-10,0.0,30.0,9.0,19.5
1923-02-11,0.0,26.0,8.0,17.0
1923-02-12,0.18,31.0,14.0,22.5
1923-02-13,0.06,34.0,28.0,31.0
1923-02-14,0.0,30.0,-15.0,7.5
1923-02-15,0.0,21.0,-8.0,6.5
1923-02-16,0.0,14.0,-3.0,5.5
1923-02-17,0.0,21.0,3.0,12.0
1923-02-18,0.0,19.0,-2.0,8.5
1923-02-19,0.04,29.0,4.0,16.5
1923-02-20,0.07,28.0,19.0,23.5
1923-02-21,0.0,33.0,10.0,21.5
1923-02-22,0.0,28.0,12.0,20.0
1923-02-23,0.0,20.0,2.0,11.0
1923-02-24,0.0,45.0,11.0,28.0
1923-02-25,0.0,42.0,24.0,33.0
1923-02-26,0.0,42.0,26.0,34.0
1923-02-27,0.0,40.0,30.0,35.0
1923-02-28,0.0,38.0,28.0,33.0
1923-03-01,0.0,48.0,27.0,37.5
1923-03-02,0.0,62.0,37.0,49.5
1923-03-03,0.0,60.0,34.0,47.0
1923-03-04,0.0,53.0,29.0,41.0
1923-03-05,0.0,37.0,18.0,27.5
1923-03-06,0.0,37.0,28.0,32.5
1923-03-07,0.0,35.0,23.0,29.0
1923-03-08,0.0,34.0,19.0,26.5
1923-03-09,0.4,44.0,30.0,37.0
1923-03-10,0.02,44.0,27.0,35.5
1923-03-11,0.0,44.0,30.0,37.0
1923-03-12,0.4,nan,31.0,nan
1923-03-13,0.08,nan,20.0,nan
1923-03-14,0.0,nan,9.0,nan
1923-03-15,0.54,36.0,24.0,30.0
1923-03-16,0.16,37.0,13.0,25.0
1923-03-17,0.0,42.0,12.0,27.0
1923-03-18,0.0,42.0,18.0,30.0
1923-03-19,0.12,19.0,-4.0,7.5
1923-03-20,0.0,40.0,5.0,22.5
1923-03-21,0.0,45.0,34.0,39.5
1923-03-22,0.05,46.0,37.0,41.5
1923-03-23,0.0,38.0,28.0,33.0
1923-03-24,0.0,33.0,19.0,26.0
1923-03-25,0.0,41.0,23.0,32.0
1923-03-26,0.0,33.0,18.0,25.5
1923-03-27,0.0,40.0,26.0,33.0
1923-03-28,0.0,28.0,11.0,19.5
1923-03-29,0.0,45.0,14.0,29.5
1923-03-30,0.0,41.0,17.0,29.0
1923-03-31,0.0,23.0,7.0,15.0
1923-04-01,0.0,39.0,16.0,27.5
1923-04-02,0.0,64.0,36.0,50.0
1923-04-03,0.18,52.0,32.0,42.0
1923-04-04,0.0,38.0,31.0,34.5
1923-04-05,0.0,42.0,30.0,36.0
1923-04-06,0.0,63.0,30.0,46.5
1923-04-07,0.42,60.0,32.0,46.0
1923-04-08,0.03,60.0,22.0,41.0
1923-04-09,0.18,41.0,25.0,33.0
1923-04-10,0.001,51.0,30.0,40.5
1923-04-11,0.0,51.0,34.0,42.5
1923-04-12,0.0,41.0,19.0,30.0
1923-04-13,0.0,42.0,37.0,39.5
1923-04-14,0.15,40.0,30.0,35.0
1923-04-15,0.17,39.0,31.0,35.0
1923-04-16,0.0,51.0,26.0,38.5
1923-04-17,0.0,46.0,29.0,37.5
1923-04-18,0.0,69.0,35.0,52.0
1923-04-19,0.0,79.0,45.0,62.0
1923-04-20,0.0,78.0,51.0,64.5
1923-04-21,0.26,78.0,49.0,63.5
1923-04-22,0.0,76.0,44.0,60.0
1923-04-23,0.0,54.0,41.0,47.5
1923-04-24,0.0,52.0,36.0,44.0
1923-04-25,0.0,52.0,37.0,44.5
1923-04-26,0.0,68.0,38.0,53.0
