 


Daily Data Between Two Dates
 WAUKEGAN (IL)
 USC00119029

Date,PRCP,TMAX,TMIN,MEAN,
1951-01-01,0.00,40,29,34.5,
1951-01-02,0.39,39,32,35.5,
1951-01-03,0.28,37,28,32.5,
1951-01-04,0.01,32,18,25.0,
1951-01-05,0.00,33,22,27.5,
1951-01-06,T,32,11,21.5,
1951-01-07,0.00,11,-5,3.0,
1951-01-08,0.00,16,-3,6.5,
1951-01-09,0.00,37,8,22.5,
1951-01-10,0.00,37,24,30.5,
1951-01-11,0.00,30,13,21.5,
1951-01-12,0.00,38,10,24.0,
1951-01-13,0.00,33,30,31.5,
1951-01-14,0.00,33,30,31.5,
1951-01-15,T,31,23,27.0,
1951-01-16,0.00,38,19,28.5,
1951-01-17,0.00,40,29,34.5,
1951-01-18,0.00,45,26,35.5,
1951-01-19,0.00,42,28,35.0,
1951-01-20,0.18,37,23,30.0,
1951-01-21,0.02,25,4,14.5,
1951-01-22,0.00,30,-2,14.0,
1951-01-23,0.22,37,15,26.0,
1951-01-24,0.00,16,6,11.0,
1951-01-25,0.00,19,6,12.5,
1951-01-26,0.14,19,0,9.5,
1951-01-27,0.10,27,12,19.5,
1951-01-28,0.03,15,5,10.0,
1951-01-29,0.00,5,-15,-5.0,
1951-01-30,0.00,-3,-23,-13.0,
1951-01-31,0.14,5,-6,-0.5,
1951-02-01,0.05,3,-3,0.0,
1951-02-02,0.00,11,-19,-4.0,
1951-02-03,0.00,25,3,14.0,
1951-02-04,T,33,18,25.5,
1951-02-05,0.00,36,9,22.5,
1951-02-06,0.48,35,28,31.5,
1951-02-07,0.00,28,-5,11.5,
1951-02-08,T,2,-13,-5.5,
1951-02-09,0.00,17,-12,2.5,
1951-02-10,0.00,32,0,16.0,
1951-02-11,0.00,42,29,35.5,
1951-02-12,0.02,39,30,34.5,
1951-02-13,0.20,30,14,22.0,
1951-02-14,T,22,11,16.5,
1951-02-15,0.00,33,18,25.5,
1951-02-16,0.23,37,29,33.0,
1951-02-17,0.00,40,30,35.0,
1951-02-18,0.17,40,30,35.0,
1951-02-19,0.56,43,34,38.5,
1951-02-20,0.00,38,33,35.5,
1951-02-21,0.00,35,32,33.5,
1951-02-22,0.00,38,29,33.5,
1951-02-23,0.00,35,24,29.5,
1951-02-24,0.00,51,25,38.0,
1951-02-25,0.11,53,36,44.5,
1951-02-26,0.13,54,41,47.5,
1951-02-27,0.00,44,29,36.5,
1951-02-28,0.06,33,24,28.5,
1951-03-01,0.31,40,25,32.5,
1951-03-02,0.43,32,23,27.5,
1951-03-03,0.46,54,29,41.5,
1951-03-04,0.00,43,19,31.0,
1951-03-05,0.00,47,25,36.0,
1951-03-06,0.00,65,39,52.0,
1951-03-07,0.00,46,30,38.0,
1951-03-08,0.00,36,26,31.0,
1951-03-09,0.00,29,10,19.5,
1951-03-10,0.00,35,23,29.0,
1951-03-11,0.00,35,28,31.5,
1951-03-12,0.12,35,29,32.0,
1951-03-13,0.94,35,32,33.5,
1951-03-14,0.18,35,32,33.5,
1951-03-15,0.00,37,29,33.0,
1951-03-16,0.00,37,18,27.5,
1951-03-17,0.00,36,19,27.5,
1951-03-18,0.42,38,26,32.0,
1951-03-19,0.01,26,15,20.5,
1951-03-20,0.00,26,13,19.5,
1951-03-21,0.00,28,10,19.0,
1951-03-22,0.00,58,14,36.0,
1951-03-23,0.17,49,27,38.0,
1951-03-24,0.04,32,17,24.5,
1951-03-25,0.00,39,16,27.5,
1951-03-26,0.00,M,21,M,
1951-03-27,0.00,57,33,45.0,
1951-03-28,0.01,57,37,47.0,
1951-03-29,0.12,50,39,44.5,
1951-03-30,0.59,M,M,M,
1951-03-31,0.32,48,31,39.5,
1951-04-01,0.50,40,30,35.0,
1951-04-02,T,40,32,36.0,
1951-04-03,0.00,50,29,39.5,
1951-04-04,0.00,53,34,43.5,
1951-04-05,0.00,56,32,44.0,
1951-04-06,0.19,53,35,44.0,
1951-04-07,0.30,48,40,44.0,
1951-04-08,0.12,55,38,46.5,
1951-04-09,0.00,53,32,42.5,
1951-04-10,T,49,37,43.0,
1951-04-11,0.18,42,30,36.0,
1951-04-12,0.71,40,34,37.0,
1951-04-13,0.16,39,31,35.0,
1951-04-14,0.09,54,35,44.5,
1951-04-15,0.01,44,34,39.0,
1951-04-16,T,36,28,32.0,
1951-04-17,0.00,50,31,40.5,
1951-04-18,0.22,58,36,47.0,
1951-04-19,0.00,49,30,39.5,
1951-04-20,0.00,50,26,38.0,
1951-04-21,0.06,50,38,44.0,
1951-04-22,0.12,55,39,47.0,
1951-04-23,0.00,60,30,45.0,
1951-04-24,0.12,53,41,47.0,
1951-04-25,0.54,61,39,50.0,
1951-04-26,0.00,50,34,42.0,
1951-04-27,0.00,59,33,46.0,
1951-04-28,0.05,85,54,69.5,
1951-04-29,0.04,76,48,62.0,
1951-04-30,0.61,66,46,56.0,
1951-05-01,0.00,75,46,60.5,
1951-05-02,0.00,79,54,66.5,
1951-05-03,0.01,78,53,65.5,
1951-05-04,0.09,60,43,51.5,
1951-05-05,0.00,49,38,43.5,
1951-05-06,0.00,52,39,45.5,
1951-05-07,0.00,70,40,55.0,
1951-05-08,0.00,78,49,63.5,
1951-05-09,0.00,74,43,58.5,
1951-05-10,1.13,46,39,42.5,
1951-05-11,0.72,58,38,48.0,
1951-05-12,0.00,70,39,54.5,
1951-05-13,0.00,60,37,48.5,
1951-05-14,0.00,81,44,62.5,
1951-05-15,0.00,84,57,70.5,
1951-05-16,0.00,85,59,72.0,
1951-05-17,0.02,59,47,53.0,
1951-05-18,0.00,69,49,59.0,
1951-05-19,0.00,72,50,61.0,
1951-05-20,0.00,82,59,70.5,
1951-05-21,0.00,81,58,69.5,
1951-05-22,0.15,69,46,57.5,
1951-05-23,0.00,65,39,52.0,
1951-05-24,0.00,80,50,65.0,
1951-05-25,0.83,78,56,67.0,
1951-05-26,0.20,61,55,58.0,
1951-05-27,0.34,60,50,55.0,
1951-05-28,0.29,68,52,60.0,
1951-05-29,0.00,66,45,55.5,
1951-05-30,0.00,79,51,65.0,
1951-05-31,0.07,75,55,65.0,
1951-06-01,0.84,83,56,69.5,
1951-06-02,0.04,84,47,65.5,
1951-06-03,0.39,70,61,65.5,
1951-06-04,0.00,62,45,53.5,
1951-06-05,0.00,60,40,50.0,
1951-06-06,0.00,65,42,53.5,
1951-06-07,0.00,65,43,54.0,
1951-06-08,0.61,60,49,54.5,
1951-06-09,0.01,80,53,66.5,
1951-06-10,0.00,75,54,64.5,
1951-06-11,T,75,50,62.5,
1951-06-12,0.06,72,58,65.0,
1951-06-13,0.00,67,56,61.5,
1951-06-14,0.00,68,47,57.5,
1951-06-15,0.00,73,44,58.5,
1951-06-16,0.00,77,53,65.0,
1951-06-17,0.00,80,54,67.0,
1951-06-18,0.05,83,56,69.5,
1951-06-19,1.21,78,59,68.5,
1951-06-20,0.00,77,63,70.0,
1951-06-21,0.45,75,55,65.0,
1951-06-22,1.20,63,52,57.5,
1951-06-23,0.00,71,54,62.5,
1951-06-24,0.10,76,59,67.5,
1951-06-25,0.00,74,53,63.5,
1951-06-26,0.02,82,55,68.5,
1951-06-27,0.18,79,61,70.0,
1951-06-28,0.01,73,57,65.0,
1951-06-29,0.00,77,52,64.5,
1951-06-30,0.03,72,57,64.5,
1951-07-01,0.00,78,55,66.5,
1951-07-02,0.00,80,53,66.5,
1951-07-03,0.14,77,60,68.5,
1951-07-04,0.04,76,57,66.5,
1951-07-05,0.00,70,50,60.0,
1951-07-06,0.00,75,49,62.0,
1951-07-07,0.00,85,61,73.0,
1951-07-08,1.92,81,62,71.5,
1951-07-09,0.50,86,60,73.0,
1951-07-10,0.00,83,61,72.0,
1951-07-11,0.67,64,57,60.5,
1951-07-12,0.00,73,56,64.5,
1951-07-13,T,77,58,67.5,
1951-07-14,0.00,80,61,70.5,
1951-07-15,0.00,89,64,76.5,
1951-07-16,M,M,M,M,
1951-07-17,T,72,59,65.5,
1951-07-18,0.00,88,62,75.0,
1951-07-19,0.00,82,56,69.0,
1951-07-20,0.00,81,51,66.0,
1951-07-21,0.10,80,67,73.5,
1951-07-22,0.01,79,65,72.0,
1951-07-23,0.00,82,60,71.0,
1951-07-24,0.00,84,61,72.5,
1951-07-25,0.00,89,65,77.0,
1951-07-26,0.00,90,63,76.5,
1951-07-27,0.50,84,66,75.0,
1951-07-28,0.00,75,63,69.0,
1951-07-29,0.00,82,56,69.0,
1951-07-30,0.00,85,60,72.5,
1951-07-31,0.37,83,70,76.5,
1951-08-01,0.00,78,M,M,
1951-08-02,0.00,79,60,69.5,
1951-08-03,0.00,77,56,66.5,
1951-08-04,0.00,68,49,58.5,
