 


Sub-Daily Data Between Two Dates
CHICAGO MIDWAY AP (IL)
14819
Lat/Lon/Elev: 41.7861/-87.7522/612 ft

Date,Time,Temp (F),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Atm Press (hPa),Sea Lev Press (hPa),Precip (in),
1981-01-01,00:00,32,28,10,340,m,M,M,0.00,
1981-01-01,01:00,31,27,11,310,m,M,M,0.00,
1981-01-01,02:00,31,26,10,320,m,M,M,0.00,
1981-01-01,03:00,31,25,11,310,m,M,M,0.00,
1981-01-01,04:00,30,24,11,340,m,M,M,0.00,
1981-01-01,05:00,30,24,7,300,m,M,M,0.00,
1981-01-01,06:00,30,24,11,310,m,M,M,0.00,
1981-01-01,07:00,29,24,6,310,m,M,M,0.00,
1981-01-01,08:00,29,26,9,290,m,M,M,0.00,
1981-01-01,09:00,29,27,11,300,m,M,M,0.00,
1981-01-01,10:00,31,27,7,290,m,M,M,0.00,
1981-01-01,11:00,32,26,17,290,m,M,M,0.00,
1981-01-01,12:00,33,26,11,290,m,M,M,0.00,
1981-01-01,13:00,33,26,14,290,m,M,M,0.00,
1981-01-01,14:00,32,26,21,310,m,M,M,0.00,
1981-01-01,15:00,32,25,13,310,m,M,M,0.00,
1981-01-01,16:00,31,25,19,320,m,M,M,0.00,
1981-01-01,17:00,30,23,11,310,m,M,M,0.00,
1981-01-01,18:00,29,20,11,310,m,M,M,0.00,
1981-01-01,19:00,27,19,13,300,m,M,M,0.00,
1981-01-01,20:00,27,19,11,290,m,M,M,0.00,
1981-01-01,21:00,27,19,15,300,m,M,M,0.00,
1981-01-01,22:00,27,18,15,280,m,M,M,0.00,
1981-01-01,23:00,28,17,16,300,m,M,M,0.00,
1981-01-02,00:00,26,15,14,300,m,M,M,0.00,
1981-01-02,01:00,25,14,11,310,m,M,M,0.00,
1981-01-02,02:00,23,11,15,330,m,M,M,0.00,
1981-01-02,03:00,21,10,15,330,m,M,M,0.00,
1981-01-02,04:00,19,11,7,310,m,M,M,0.00,
1981-01-02,06:00,18,8,11,310,m,M,M,0.00,
1981-01-02,07:00,17,8,14,330,m,M,M,0.00,
1981-01-02,08:00,17,7,16,310,m,M,M,0.00,
1981-01-02,09:00,17,7,14,310,m,M,M,0.00,
1981-01-02,10:00,19,7,11,300,m,M,M,0.00,
1981-01-02,11:00,20,5,8,290,m,M,M,0.00,
1981-01-02,12:00,19,4,9,310,m,M,M,0.00,
1981-01-02,13:00,20,6,6,310,m,M,M,0.00,
1981-01-02,14:00,21,3,7,200,m,M,M,0.00,
1981-01-02,15:00,21,3,8,280,m,M,M,0.00,
1981-01-02,16:00,21,1,9,290,m,M,M,0.00,
1981-01-02,17:00,20,6,6,230,m,M,M,0.00,
1981-01-02,18:00,20,7,4,210,m,M,M,0.00,
1981-01-02,19:00,21,9,3,180,m,M,M,0.00,
1981-01-02,20:00,22,13,9,180,m,M,M,0.00,
1981-01-02,21:00,23,16,6,180,m,M,M,0.00,
1981-01-02,22:00,23,17,4,180,m,M,M,0.00,
1981-01-02,23:00,M,M,21,240,m,M,M,0.00,
1981-01-03,00:00,25,19,3,50,m,M,M,0.00,
1981-01-03,01:00,25,20,9,30,m,M,M,0.00,
1981-01-03,02:00,25,21,8,20,m,M,M,0.00,
1981-01-03,03:00,25,19,14,20,m,M,M,0.00,
1981-01-03,04:00,21,17,17,360,m,M,M,0.00,
1981-01-03,05:00,19,15,23,320,m,M,M,0.00,
1981-01-03,06:00,16,11,17,330,m,M,M,0.00,
1981-01-03,07:00,12,2,23,320,m,M,M,0.00,
1981-01-03,08:00,9,1,17,320,m,M,M,0.00,
1981-01-03,09:00,9,-3,21,310,m,M,M,0.00,
1981-01-03,10:00,9,-4,22,310,m,M,M,0.00,
1981-01-03,11:00,9,-8,23,310,m,M,M,0.00,
1981-01-03,12:00,8,-6,14,330,m,M,M,0.00,
1981-01-03,13:00,8,-6,17,310,m,M,M,0.00,
1981-01-03,14:00,8,-10,17,300,m,M,M,0.00,
1981-01-03,15:00,8,-6,14,320,m,M,M,0.00,
1981-01-03,16:00,6,-9,14,300,m,M,M,0.00,
1981-01-03,17:00,4,-10,15,310,m,M,M,0.00,
1981-01-03,18:00,4,-8,17,310,m,M,M,0.00,
1981-01-03,19:00,4,-9,17,320,m,M,M,0.00,
1981-01-03,20:00,3,-9,11,330,m,M,M,0.00,
1981-01-03,21:00,3,-10,11,320,m,M,M,0.00,
1981-01-03,22:00,2,-10,17,320,m,M,M,0.00,
1981-01-03,23:00,1,-15,13,340,m,M,M,0.00,
1981-01-04,00:00,-1,-15,17,320,m,M,M,0.00,
1981-01-04,01:00,-2,-16,17,320,m,M,M,0.00,
1981-01-04,02:00,-3,-18,17,320,m,M,M,0.00,
1981-01-04,03:00,-3,-20,17,320,m,M,M,0.00,
1981-01-04,04:00,-4,-20,16,320,m,M,M,0.00,
1981-01-04,05:00,-4,-19,14,320,m,M,M,0.00,
1981-01-04,06:00,-4,-18,14,310,m,M,M,0.00,
1981-01-04,07:00,-4,-19,17,300,m,M,M,0.00,
1981-01-04,08:00,-3,-17,17,300,m,M,M,0.00,
1981-01-04,09:00,0,-16,16,310,m,M,M,0.00,
1981-01-04,10:00,3,-16,17,310,m,M,M,0.00,
1981-01-04,11:00,5,-14,11,340,m,M,M,0.00,
1981-01-04,12:00,7,-14,13,310,m,M,M,0.00,
1981-01-04,13:00,9,-14,17,320,m,M,M,0.00,
1981-01-04,14:00,10,-11,14,310,m,M,M,0.00,
1981-01-04,15:00,10,-15,16,310,m,M,M,0.00,
1981-01-04,16:00,9,-14,11,310,m,M,M,0.00,
1981-01-04,17:00,7,-15,11,310,m,M,M,0.00,
1981-01-04,18:00,6,-14,9,320,m,M,M,0.00,
1981-01-04,19:00,5,-11,9,320,m,M,M,0.00,
1981-01-04,20:00,4,-11,9,320,m,M,M,0.00,
1981-01-04,21:00,3,-10,2,340,m,M,M,0.00,
1981-01-04,22:00,3,-9,4,330,m,M,M,0.00,
1981-01-04,23:00,3,-8,4,280,m,M,M,0.00,
1981-01-05,00:00,2,-10,6,290,m,M,M,0.00,
1981-01-05,01:00,2,-7,6,280,m,M,M,0.00,
1981-01-05,02:00,1,-6,6,290,m,M,M,0.00,
1981-01-05,03:00,1,-8,6,270,m,M,M,0.00,
1981-01-05,04:00,1,-3,4,270,m,M,M,0.00,
1981-01-05,05:00,0,-10,0,0,m,M,M,0.00,
1981-01-05,06:00,0,-10,3,210,m,M,M,0.00,
1981-01-05,07:00,1,-8,4,190,m,M,M,0.00,
1981-01-05,08:00,3,-1,7,190,m,M,M,0.00,
1981-01-05,09:00,9,-14,10,180,m,M,M,0.00,
1981-01-05,10:00,12,-11,9,210,m,M,M,0.00,
1981-01-05,11:00,15,-3,14,200,m,M,M,0.00,
1981-01-05,12:00,16,5,17,210,m,M,M,0.00,
1981-01-05,13:00,17,5,17,200,m,M,M,0.00,
1981-01-05,14:00,19,8,16,210,m,M,M,0.00,
1981-01-05,15:00,21,8,16,200,m,M,M,0.00,
1981-01-05,16:00,21,8,21,190,m,M,M,0.00,
1981-01-05,17:00,21,8,17,190,m,M,M,0.00,
1981-01-05,18:00,21,7,17,180,m,M,M,0.00,
1981-01-05,19:00,22,9,21,190,m,M,M,0.00,
1981-01-05,20:00,22,7,23,200,m,M,M,0.00,
1981-01-05,21:00,22,7,17,190,m,M,M,0.00,
1981-01-05,22:00,22,9,14,200,m,M,M,0.00,
1981-01-05,23:00,22,8,14,200,m,M,M,0.00,
1981-01-06,00:00,22,9,17,200,m,M,M,0.00,
1981-01-06,01:00,21,8,13,200,m,M,M,0.00,
1981-01-06,02:00,21,8,13,200,m,M,M,0.00,
1981-01-06,03:00,22,10,11,190,m,M,M,0.00,
1981-01-06,04:00,23,11,9,200,m,M,M,0.00,
1981-01-06,05:00,24,15,13,190,m,M,M,0.00,
1981-01-06,06:00,24,21,15,200,m,M,M,0.00,
1981-01-06,07:00,25,22,9,200,m,M,M,0.00,
1981-01-06,08:00,25,23,7,210,m,M,M,0.00,
1981-01-06,09:00,27,24,9,210,m,M,M,0.00,
1981-01-06,10:00,27,25,10,200,m,M,M,0.00,
1981-01-06,11:00,28,24,10,190,m,M,M,0.00,
1981-01-06,12:00,29,25,17,220,m,M,M,0.00,
1981-01-06,13:00,29,26,23,210,m,M,M,0.00,
1981-01-06,14:00,30,26,9,230,m,M,M,0.00,
1981-01-06,15:00,30,27,11,260,m,M,M,0.10,
1981-01-06,16:00,30,24,14,300,m,M,M,0.00,
1981-01-06,17:00,30,24,14,290,m,M,M,0.00,
1981-01-06,18:00,30,24,14,300,m,M,M,0.00,
1981-01-06,19:00,29,20,21,300,m,M,M,0.00,
1981-01-06,20:00,28,23,17,310,m,M,M,0.00,
1981-01-06,21:00,28,20,17,310,m,M,M,0.00,
1981-01-06,22:00,27,18,17,310,m,M,M,0.00,
1981-01-06,23:00,24,13,18,330,m,M,M,0.00,
1981-01-07,00:00,17,6,23,320,m,M,M,0.00,
1981-01-07,01:00,13,4,23,320,m,M,M,0.00,
1981-01-07,02:00,M,M,57,70,m,M,M,0.00,
1981-01-07,03:00,9,0,21,320,m,M,M,0.00,
1981-01-07,04:00,8,-3,23,310,m,M,M,0.00,
1981-01-07,05:00,7,-4,18,340,m,M,M,0.00,
1981-01-07,06:00,7,-4,23,310,m,M,M,0.00,
1981-01-07,07:00,6,-3,13,330,m,M,M,0.00,
1981-01-07,08:00,6,-5,17,330,m,M,M,0.00,
1981-01-07,09:00,7,-4,16,320,m,M,M,0.00,
1981-01-07,10:00,9,-2,14,310,m,M,M,0.00,
1981-01-07,11:00,10,-3,11,310,m,M,M,0.00,
1981-01-07,12:00,11,-4,11,320,m,M,M,0.00,
1981-01-07,13:00,12,-4,11,320,m,M,M,0.00,
1981-01-07,14:00,13,-3,15,320,m,M,M,0.00,
1981-01-07,15:00,11,-4,11,280,m,M,M,0.00,
1981-01-07,16:00,12,-3,7,320,m,M,M,0.00,
1981-01-07,17:00,10,-3,8,310,m,M,M,0.00,
1981-01-07,18:00,9,-2,11,310,m,M,M,0.00,
1981-01-07,19:00,9,-2,9,310,m,M,M,0.00,
1981-01-07,20:00,9,-2,6,300,m,M,M,0.00,
1981-01-07,21:00,8,-3,8,310,m,M,M,0.00,
1981-01-07,22:00,8,-2,7,340,m,M,M,0.00,
1981-01-07,23:00,8,0,7,310,m,M,M,0.00,
1981-01-08,00:00,9,0,7,310,m,M,M,0.00,
1981-01-08,01:00,9,2,6,300,m,M,M,0.00,
1981-01-08,02:00,10,1,6,320,m,M,M,0.00,
1981-01-08,03:00,8,1,6,310,m,M,M,0.00,
1981-01-08,04:00,8,2,6,300,m,M,M,0.00,
1981-01-08,05:00,9,3,6,290,m,M,M,0.00,
1981-01-08,06:00,9,3,6,300,m,M,M,0.00,
1981-01-08,07:00,10,3,4,310,m,M,M,0.00,
1981-01-08,08:00,9,2,3,300,m,M,M,0.00,
1981-01-08,09:00,15,5,4,310,m,M,M,0.00,
1981-01-08,10:00,17,5,0,0,m,M,M,0.00,
1981-01-08,11:00,18,3,8,190,m,M,M,0.00,
1981-01-08,12:00,20,6,11,200,m,M,M,0.00,
1981-01-08,13:00,20,6,10,210,m,M,M,0.00,
1981-01-08,14:00,20,7,19,200,m,M,M,0.00,
1981-01-08,15:00,21,6,9,210,m,M,M,0.00,
1981-01-08,16:00,19,6,8,190,m,M,M,0.00,
1981-01-08,17:00,16,5,7,210,m,M,M,0.00,
1981-01-08,18:00,14,6,6,200,m,M,M,0.00,
1981-01-08,19:00,13,6,7,210,m,M,M,0.00,
1981-01-08,20:00,13,6,6,190,m,M,M,0.00,
1981-01-08,21:00,12,6,6,190,m,M,M,0.00,
1981-01-08,22:00,14,9,8,180,m,M,M,0.00,
1981-01-08,23:00,14,9,9,220,m,M,M,0.00,
1981-01-09,00:00,14,10,11,220,m,M,M,0.00,
1981-01-09,01:00,13,9,11,230,m,M,M,0.00,
1981-01-09,02:00,11,9,3,220,m,M,M,0.00,
1981-01-09,03:00,10,8,7,220,m,M,M,0.00,
1981-01-09,04:00,10,7,7,240,m,M,M,0.00,
1981-01-09,05:00,11,7,7,240,m,M,M,0.00,
1981-01-09,06:00,12,8,7,240,m,M,M,0.00,
1981-01-09,07:00,12,7,8,260,m,M,M,0.00,
1981-01-09,08:00,13,7,9,300,m,M,M,0.00,
1981-01-09,09:00,14,8,8,260,m,M,M,0.00,
1981-01-09,10:00,17,8,10,270,m,M,M,0.00,
1981-01-09,11:00,18,9,9,290,m,M,M,0.00,
1981-01-09,12:00,19,10,9,310,m,M,M,0.00,
1981-01-09,13:00,20,11,11,310,m,M,M,0.00,
1981-01-09,14:00,20,11,9,310,m,M,M,0.00,
1981-01-09,15:00,19,11,11,310,m,M,M,0.00,
1981-01-09,16:00,18,9,14,310,m,M,M,0.00,
1981-01-09,17:00,17,10,11,310,m,M,M,0.00,
1981-01-09,18:00,16,8,14,320,m,M,M,0.00,
1981-01-09,19:00,14,3,17,330,m,M,M,0.00,
1981-01-09,20:00,13,6,10,320,m,M,M,0.00,
1981-01-09,21:00,12,5,11,310,m,M,M,0.00,
1981-01-09,22:00,12,2,14,320,m,M,M,0.00,
1981-01-09,23:00,11,0,11,310,m,M,M,0.00,
1981-01-10,00:00,10,-2,17,350,m,M,M,0.00,
1981-01-10,01:00,8,-2,15,310,m,M,M,0.00,
1981-01-10,02:00,7,-2,11,310,m,M,M,0.00,
1981-01-10,03:00,7,-4,11,310,m,M,M,0.00,
1981-01-10,04:00,6,-4,11,310,m,M,M,0.00,
1981-01-10,05:00,5,-5,9,310,m,M,M,0.00,
1981-01-10,06:00,3,-4,11,300,m,M,M,0.00,
1981-01-10,07:00,3,-5,11,320,m,M,M,0.00,
1981-01-10,08:00,3,-5,7,320,m,M,M,0.00,
1981-01-10,09:00,6,-4,9,300,m,M,M,0.00,
1981-01-10,10:00,10,-3,9,280,m,M,M,0.00,
1981-01-10,11:00,13,-3,6,280,m,M,M,0.00,
1981-01-10,12:00,16,-2,4,290,m,M,M,0.00,
1981-01-10,13:00,17,-3,4,300,m,M,M,0.00,
1981-01-10,14:00,18,-2,9,300,m,M,M,0.00,
1981-01-10,15:00,16,-4,8,270,m,M,M,0.00,
1981-01-10,16:00,15,-3,7,280,m,M,M,0.00,
1981-01-10,17:00,14,-2,9,310,m,M,M,0.00,
1981-01-10,18:00,13,0,7,300,m,M,M,0.00,
1981-01-10,19:00,14,-1,8,310,m,M,M,0.00,
1981-01-10,20:00,14,0,6,310,m,M,M,0.00,
1981-01-10,21:00,14,0,9,310,m,M,M,0.00,
1981-01-10,22:00,13,3,8,310,m,M,M,0.00,
1981-01-10,23:00,12,1,11,310,m,M,M,0.00,
1981-01-11,00:00,10,-2,16,310,m,M,M,0.00,
