 


Sub-Daily Data Between Two Dates
CHICAGO WAUKEGAN RGNL AP (IL)
14880
Lat/Lon/Elev: 42.4167/-87.8667/727 ft

Date,Time,Temp (F),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Atm Press (hPa),Sea Lev Press (hPa),Precip (in),
1989-04-21,06:00,M,M,13,80,m,M,M,m,
1989-04-21,07:00,M,M,16,80,m,M,M,m,
1989-04-21,08:00,M,M,11,90,m,M,M,m,
1989-04-21,09:00,M,M,14,80,m,M,M,m,
1989-04-21,10:00,M,M,11,110,m,M,M,m,
1989-04-21,11:00,M,M,16,80,m,M,M,m,
1989-04-21,12:00,M,M,17,80,m,M,M,m,
1989-04-21,13:00,M,M,16,60,m,M,M,m,
1989-04-21,14:00,M,M,17,70,m,M,M,m,
1989-04-24,13:00,M,M,15,110,m,M,M,m,
1989-04-24,14:00,M,M,14,110,m,M,M,m,
1989-04-24,15:00,M,M,14,110,m,M,M,m,
1989-04-24,16:00,M,M,15,140,m,M,M,m,
1989-04-24,17:00,M,M,9,110,m,M,M,m,
1989-04-24,18:00,M,M,9,110,m,M,M,m,
1989-04-25,05:00,M,M,6,210,m,M,M,m,
1989-04-25,06:00,M,M,6,230,m,M,M,m,
1989-04-25,07:00,M,M,6,70,m,M,M,m,
1989-04-25,08:00,M,M,8,20,m,M,M,m,
1989-04-25,09:00,M,M,6,80,m,M,M,m,
1989-04-25,10:00,M,M,6,70,m,M,M,m,
1989-04-25,11:00,M,M,8,100,m,M,M,m,
1989-04-25,12:00,M,M,8,110,m,M,M,m,
1989-04-25,13:00,M,M,6,90,m,M,M,m,
1989-04-25,14:00,M,M,8,110,m,M,M,m,
1989-04-25,15:00,M,M,10,100,m,M,M,m,
1989-04-25,16:00,M,M,9,90,m,M,M,m,
1989-04-25,17:00,M,M,8,60,m,M,M,m,
1989-04-25,18:00,M,M,7,30,m,M,M,m,
1989-04-26,05:00,M,M,14,20,m,M,M,m,
1989-04-26,06:00,M,M,15,20,m,M,M,m,
1989-04-26,07:00,M,M,11,30,m,M,M,m,
1989-04-26,08:00,M,M,10,40,m,M,M,m,
1989-04-26,09:00,M,M,18,50,m,M,M,m,
1989-04-26,10:00,M,M,14,50,m,M,M,m,
1989-04-26,11:00,M,M,13,60,m,M,M,m,
1989-04-26,12:00,M,M,11,50,m,M,M,m,
1989-04-26,13:00,M,M,9,50,m,M,M,m,
1989-04-26,14:00,M,M,11,40,m,M,M,m,
1989-04-26,15:00,M,M,13,50,m,M,M,m,
1989-04-26,16:00,M,M,11,50,m,M,M,m,
1989-04-26,17:00,M,M,14,40,m,M,M,m,
1989-04-26,18:00,M,M,9,40,m,M,M,m,
1989-04-26,19:00,M,M,6,60,m,M,M,m,
1989-04-27,05:00,M,M,9,50,m,M,M,m,
1989-04-27,06:00,M,M,7,10,m,M,M,m,
1989-04-27,07:00,M,M,6,310,m,M,M,m,
1989-04-27,08:00,M,M,7,30,m,M,M,m,
1989-04-27,09:00,M,M,7,20,m,M,M,m,
1989-04-27,10:00,M,M,9,40,m,M,M,m,
1989-04-27,11:00,M,M,9,40,m,M,M,m,
1989-04-27,12:00,M,M,7,40,m,M,M,m,
1989-04-27,13:00,M,M,11,40,m,M,M,m,
1989-04-27,14:00,M,M,11,30,m,M,M,m,
1989-04-27,15:00,M,M,13,300,m,M,M,m,
1989-04-27,16:00,M,M,14,20,m,M,M,m,
1989-04-27,17:00,M,M,13,30,m,M,M,m,
1989-04-27,18:00,M,M,11,30,m,M,M,m,
1989-04-27,19:00,M,M,10,30,m,M,M,m,
1989-04-28,05:00,M,M,11,50,m,M,M,m,
1989-04-28,06:00,M,M,9,60,m,M,M,m,
1989-04-28,07:00,M,M,17,90,m,M,M,m,
1989-04-28,08:00,M,M,9,100,m,M,M,m,
1989-04-28,09:00,M,M,11,100,m,M,M,m,
1989-04-28,10:00,M,M,11,60,m,M,M,m,
1989-04-28,11:00,M,M,11,50,m,M,M,m,
1989-04-28,12:00,M,M,11,60,m,M,M,m,
1989-04-28,13:00,M,M,16,60,m,M,M,m,
1989-04-28,14:00,M,M,16,60,m,M,M,m,
1989-04-28,15:00,M,M,17,60,m,M,M,m,
1989-04-28,16:00,M,M,17,60,m,M,M,m,
1989-04-28,17:00,M,M,14,50,m,M,M,m,
1989-04-28,18:00,M,M,17,50,m,M,M,m,
1989-04-28,19:00,M,M,16,60,m,M,M,m,
1989-04-29,05:00,M,M,5,110,m,M,M,m,
1989-04-29,06:00,M,M,5,60,m,M,M,m,
1989-04-29,07:00,M,M,5,80,m,M,M,m,
1989-04-29,08:00,M,M,6,50,m,M,M,m,
1989-04-29,09:00,M,M,6,50,m,m,M,m,
1989-04-29,10:00,M,M,5,360,m,M,M,m,
1989-04-29,11:00,M,M,7,20,m,M,M,m,
1989-04-29,12:00,M,M,7,50,m,M,M,m,
1989-04-29,13:00,M,M,9,110,m,M,M,m,
1989-04-29,14:00,M,M,10,110,m,M,M,m,
1989-04-29,15:00,M,M,11,120,m,M,M,m,
1989-04-29,16:00,M,M,11,140,m,M,M,m,
1989-04-29,17:00,M,M,10,160,m,M,M,m,
1989-04-29,18:00,M,M,6,240,m,M,M,m,
1989-04-29,19:00,M,M,14,290,m,M,M,m,
1989-04-30,05:00,M,M,8,270,m,M,M,m,
1989-04-30,06:00,M,M,8,270,m,M,M,m,
1989-04-30,07:00,M,M,14,310,m,M,M,m,
